target_intended_observed,model_intended_observed,model,subset,f1_score_mean,f1_score_std,f1_score_ci
intended,intended,cnn_lstm,male,0.5598724106165096,0.01508169927802486,"(0.5568647984347885, 0.5628800227982307)"
intended,intended,cnn_lstm,female,0.6037540493828025,0.01308982812520146,"(0.6011436587497421, 0.606364440015863)"
intended,intended,cnn_lstm,cauc,0.580908043859865,0.013998984684166946,"(0.5781163480375531, 0.583699739682177)"
intended,intended,cnn_lstm,non-cauc,0.5802052063864683,0.016893717594421563,"(0.5768362391437936, 0.5835741736291431)"
intended,intended,cnn_lstm_attention,male,0.5723215462344519,0.014306121747109676,"(0.5694686007376214, 0.5751744917312823)"
intended,intended,cnn_lstm_attention,female,0.6155541866415011,0.014870212404260565,"(0.6125887494485582, 0.6185196238344439)"
intended,intended,cnn_lstm_attention,cauc,0.5942702013422405,0.013523998300197992,"(0.5915732279254242, 0.5969671747590568)"
intended,intended,cnn_lstm_attention,non-cauc,0.5898125801961274,0.015576519480635131,"(0.5867062903228745, 0.5929188700693803)"
intended,intended,cnn_lstm_attention_multitask,male,0.5737412013655622,0.014281969447511457,"(0.5708930723518845, 0.5765893303792399)"
intended,intended,cnn_lstm_attention_multitask,female,0.6143111633812816,0.014241753769435017,"(0.6114710542306876, 0.6171512725318755)"
intended,intended,cnn_lstm_attention_multitask,cauc,0.5957737969759114,0.012702753282570855,"(0.5932405973138729, 0.5983069966379498)"
intended,intended,cnn_lstm_attention_multitask,non-cauc,0.5876867607099692,0.01752249106935255,"(0.5841924026391202, 0.5911811187808181)"
intended,observed,cnn_lstm,male,0.3155568031582569,0.01859352953760539,"(0.31184885719622757, 0.31926474912028624)"
intended,observed,cnn_lstm,female,0.3762915320213827,0.019672644614626176,"(0.3723683875202965, 0.38021467652246893)"
intended,observed,cnn_lstm,cauc,0.3461744835758222,0.01850472643533522,"(0.34248424684451273, 0.34986472030713167)"
intended,observed,cnn_lstm,non-cauc,0.34669417497283184,0.020154200159134175,"(0.34267499803566936, 0.3507133519099943)"
intended,observed,cnn_lstm_attention,male,0.29649025520003774,0.018577183142860793,"(0.29278556905741304, 0.30019494134266245)"
intended,observed,cnn_lstm_attention,female,0.3624050946813276,0.020034966225968648,"(0.3584096955309551, 0.3664004938317001)"
intended,observed,cnn_lstm_attention,cauc,0.3308528670838622,0.018002675112405428,"(0.3272627500835497, 0.33444298408417467)"
intended,observed,cnn_lstm_attention,non-cauc,0.32803021944663924,0.019843566041022536,"(0.3240729895713077, 0.3319874493219708)"
intended,observed,cnn_lstm_attention_multitask,male,0.2826678773434916,0.01575712189283677,"(0.2795255715011511, 0.28581018318583207)"
intended,observed,cnn_lstm_attention_multitask,female,0.34996765741395514,0.021015241598303168,"(0.34577677046761723, 0.35415854436029304)"
intended,observed,cnn_lstm_attention_multitask,cauc,0.31655109829867895,0.016943898125222002,"(0.3131721239889662, 0.3199300726083917)"
intended,observed,cnn_lstm_attention_multitask,non-cauc,0.31611631797299733,0.020862783215291027,"(0.311955834476662, 0.3202768014693327)"
observed,intended,cnn_lstm,male,0.3565474477950612,0.016989978369808097,"(0.3531592841027465, 0.3599356114873759)"
observed,intended,cnn_lstm,female,0.4045688622772899,0.016653425173064625,"(0.40124781446334296, 0.4078899100912368)"
observed,intended,cnn_lstm,cauc,0.37976190824976913,0.014977146682107275,"(0.3767751460833756, 0.3827486704161627)"
observed,intended,cnn_lstm,non-cauc,0.383239293661762,0.02061836874253133,"(0.3791275516190327, 0.3873510357044913)"
observed,intended,cnn_lstm_attention,male,0.36054074510404144,0.0161955154704447,"(0.3573110142414764, 0.3637704759666065)"
observed,intended,cnn_lstm_attention,female,0.4119958863467074,0.014354721896843942,"(0.4091332489444968, 0.414858523748918)"
observed,intended,cnn_lstm_attention,cauc,0.3874397690811665,0.012323515496920656,"(0.38498219751400414, 0.38989734064832887)"
observed,intended,cnn_lstm_attention,non-cauc,0.38525833961886297,0.01904748415224152,"(0.38145986543426674, 0.3890568138034592)"
observed,intended,cnn_lstm_attention_multitask,male,0.36490282396887996,0.016313173622356184,"(0.3616496295638822, 0.36815601837387774)"
observed,intended,cnn_lstm_attention_multitask,female,0.4151347544551824,0.017560725525842924,"(0.4116327716190479, 0.4186367372913169)"
observed,intended,cnn_lstm_attention_multitask,cauc,0.39275549582617514,0.014173465588893866,"(0.38992900479379694, 0.39558198685855334)"
observed,intended,cnn_lstm_attention_multitask,non-cauc,0.3867095639116881,0.018614005178831047,"(0.382997534670524, 0.3904215931528522)"
observed,observed,cnn_lstm,male,0.44746473859114233,0.01776826462137775,"(0.4439213680373238, 0.45100810914496087)"
observed,observed,cnn_lstm,female,0.47361063462992825,0.014745787006079144,"(0.47067001051251406, 0.47655125874734244)"
observed,observed,cnn_lstm,cauc,0.4712483615513877,0.013335778588472296,"(0.46858892315548584, 0.4739077999472896)"
observed,observed,cnn_lstm,non-cauc,0.45986632747096046,0.017293345041016938,"(0.4564176660005747, 0.4633149889413462)"
observed,observed,cnn_lstm_attention,male,0.4371791150545457,0.019373200791725574,"(0.4333156860319937, 0.4410425440770977)"
observed,observed,cnn_lstm_attention,female,0.47146772992504005,0.01716500812795354,"(0.46804466156959307, 0.474890798280487)"
observed,observed,cnn_lstm_attention,cauc,0.4684136334038122,0.015083583001245609,"(0.46540564556754443, 0.47142162124007997)"
observed,observed,cnn_lstm_attention,non-cauc,0.44988327355627333,0.01975130752610092,"(0.4459444419945688, 0.4538221051179779)"
observed,observed,cnn_lstm_attention_multitask,male,0.4248577605494216,0.017984458374527307,"(0.42127127635478595, 0.42844424474405723)"
observed,observed,cnn_lstm_attention_multitask,female,0.46046631027934465,0.01777395842364768,"(0.45692180426003565, 0.46401081629865365)"
observed,observed,cnn_lstm_attention_multitask,cauc,0.45768195215259183,0.01681735171439794,"(0.4543282138935211, 0.46103569041166254)"
observed,observed,cnn_lstm_attention_multitask,non-cauc,0.4360643157288551,0.021934884402860955,"(0.43169003241246423, 0.440438599045246)"
